group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bitcask Sizes,,1024,,,847921833.0,ns,1
Bitcask Sizes,,1024,,,845123666.0,ns,1
Bitcask Sizes,,1024,,,841643083.0,ns,1
Bitcask Sizes,,1024,,,846551125.0,ns,1
Bitcask Sizes,,1024,,,857757333.0,ns,1
Bitcask Sizes,,1024,,,1104226041.0,ns,1
Bitcask Sizes,,1024,,,837431166.0,ns,1
Bitcask Sizes,,1024,,,827203708.0,ns,1
Bitcask Sizes,,1024,,,843451375.0,ns,1
Bitcask Sizes,,1024,,,839113208.0,ns,1
Bitcask Sizes,,1024,,,833603291.0,ns,1
Bitcask Sizes,,1024,,,843124375.0,ns,1
Bitcask Sizes,,1024,,,866713875.0,ns,1
Bitcask Sizes,,1024,,,843348958.0,ns,1
Bitcask Sizes,,1024,,,851952875.0,ns,1
Bitcask Sizes,,1024,,,841136708.0,ns,1
Bitcask Sizes,,1024,,,843247416.0,ns,1
Bitcask Sizes,,1024,,,837093000.0,ns,1
Bitcask Sizes,,1024,,,843243791.0,ns,1
Bitcask Sizes,,1024,,,827555125.0,ns,1
Bitcask Sizes,,1024,,,829355833.0,ns,1
Bitcask Sizes,,1024,,,829127541.0,ns,1
Bitcask Sizes,,1024,,,831357250.0,ns,1
Bitcask Sizes,,1024,,,826686416.0,ns,1
Bitcask Sizes,,1024,,,836647458.0,ns,1
Bitcask Sizes,,1024,,,837241333.0,ns,1
Bitcask Sizes,,1024,,,841334916.0,ns,1
Bitcask Sizes,,1024,,,858143583.0,ns,1
Bitcask Sizes,,1024,,,839502708.0,ns,1
Bitcask Sizes,,1024,,,841246708.0,ns,1
Bitcask Sizes,,1024,,,858565500.0,ns,1
Bitcask Sizes,,1024,,,836018458.0,ns,1
Bitcask Sizes,,1024,,,834840833.0,ns,1
Bitcask Sizes,,1024,,,841142250.0,ns,1
Bitcask Sizes,,1024,,,854929958.0,ns,1
Bitcask Sizes,,1024,,,833048083.0,ns,1
Bitcask Sizes,,1024,,,830630333.0,ns,1
Bitcask Sizes,,1024,,,832059250.0,ns,1
Bitcask Sizes,,1024,,,873599333.0,ns,1
Bitcask Sizes,,1024,,,837853333.0,ns,1
Bitcask Sizes,,1024,,,829483583.0,ns,1
Bitcask Sizes,,1024,,,861529708.0,ns,1
Bitcask Sizes,,1024,,,838422708.0,ns,1
Bitcask Sizes,,1024,,,834292625.0,ns,1
Bitcask Sizes,,1024,,,830343791.0,ns,1
Bitcask Sizes,,1024,,,833081500.0,ns,1
Bitcask Sizes,,1024,,,833581750.0,ns,1
Bitcask Sizes,,1024,,,832654333.0,ns,1
Bitcask Sizes,,1024,,,836610333.0,ns,1
Bitcask Sizes,,1024,,,825139750.0,ns,1
Bitcask Sizes,,1024,,,841214750.0,ns,1
Bitcask Sizes,,1024,,,839273000.0,ns,1
Bitcask Sizes,,1024,,,877218833.0,ns,1
Bitcask Sizes,,1024,,,902438583.0,ns,1
Bitcask Sizes,,1024,,,826789458.0,ns,1
Bitcask Sizes,,1024,,,821744833.0,ns,1
Bitcask Sizes,,1024,,,833917208.0,ns,1
Bitcask Sizes,,1024,,,847752291.0,ns,1
Bitcask Sizes,,1024,,,828368291.0,ns,1
Bitcask Sizes,,1024,,,827930208.0,ns,1
Bitcask Sizes,,1024,,,833758416.0,ns,1
Bitcask Sizes,,1024,,,880483625.0,ns,1
Bitcask Sizes,,1024,,,823644875.0,ns,1
Bitcask Sizes,,1024,,,825653958.0,ns,1
Bitcask Sizes,,1024,,,829754541.0,ns,1
Bitcask Sizes,,1024,,,835829083.0,ns,1
Bitcask Sizes,,1024,,,830035250.0,ns,1
Bitcask Sizes,,1024,,,827697166.0,ns,1
Bitcask Sizes,,1024,,,828658916.0,ns,1
Bitcask Sizes,,1024,,,849135500.0,ns,1
Bitcask Sizes,,1024,,,850394916.0,ns,1
Bitcask Sizes,,1024,,,835196125.0,ns,1
Bitcask Sizes,,1024,,,847200250.0,ns,1
Bitcask Sizes,,1024,,,830915458.0,ns,1
Bitcask Sizes,,1024,,,832752583.0,ns,1
Bitcask Sizes,,1024,,,849757958.0,ns,1
Bitcask Sizes,,1024,,,983889250.0,ns,1
Bitcask Sizes,,1024,,,847871833.0,ns,1
Bitcask Sizes,,1024,,,821807041.0,ns,1
Bitcask Sizes,,1024,,,826955291.0,ns,1
Bitcask Sizes,,1024,,,826794791.0,ns,1
Bitcask Sizes,,1024,,,844012750.0,ns,1
Bitcask Sizes,,1024,,,837577583.0,ns,1
Bitcask Sizes,,1024,,,828440333.0,ns,1
Bitcask Sizes,,1024,,,828248416.0,ns,1
Bitcask Sizes,,1024,,,830534750.0,ns,1
Bitcask Sizes,,1024,,,881598583.0,ns,1
Bitcask Sizes,,1024,,,823703666.0,ns,1
Bitcask Sizes,,1024,,,822776833.0,ns,1
Bitcask Sizes,,1024,,,825835125.0,ns,1
Bitcask Sizes,,1024,,,833814041.0,ns,1
Bitcask Sizes,,1024,,,827915500.0,ns,1
Bitcask Sizes,,1024,,,825809125.0,ns,1
Bitcask Sizes,,1024,,,823249958.0,ns,1
Bitcask Sizes,,1024,,,827281833.0,ns,1
Bitcask Sizes,,1024,,,833255958.0,ns,1
Bitcask Sizes,,1024,,,822002875.0,ns,1
Bitcask Sizes,,1024,,,834161708.0,ns,1
Bitcask Sizes,,1024,,,830656041.0,ns,1
Bitcask Sizes,,1024,,,839067791.0,ns,1
