group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Bitcask Sizes,,256,,,656977291.0,ns,1
Bitcask Sizes,,256,,,489505291.0,ns,1
Bitcask Sizes,,256,,,511758083.0,ns,1
Bitcask Sizes,,256,,,481300583.0,ns,1
Bitcask Sizes,,256,,,483586416.0,ns,1
Bitcask Sizes,,256,,,516506750.0,ns,1
Bitcask Sizes,,256,,,484122833.0,ns,1
Bitcask Sizes,,256,,,482960291.0,ns,1
Bitcask Sizes,,256,,,483137208.0,ns,1
Bitcask Sizes,,256,,,484686000.0,ns,1
Bitcask Sizes,,256,,,484898791.0,ns,1
Bitcask Sizes,,256,,,571529958.0,ns,1
Bitcask Sizes,,256,,,486349500.0,ns,1
Bitcask Sizes,,256,,,484478833.0,ns,1
Bitcask Sizes,,256,,,488779166.0,ns,1
Bitcask Sizes,,256,,,484566416.0,ns,1
Bitcask Sizes,,256,,,484370166.0,ns,1
Bitcask Sizes,,256,,,483073583.0,ns,1
Bitcask Sizes,,256,,,482681625.0,ns,1
Bitcask Sizes,,256,,,484194333.0,ns,1
Bitcask Sizes,,256,,,484300083.0,ns,1
Bitcask Sizes,,256,,,483465791.0,ns,1
Bitcask Sizes,,256,,,483625000.0,ns,1
Bitcask Sizes,,256,,,481244166.0,ns,1
Bitcask Sizes,,256,,,480285750.0,ns,1
Bitcask Sizes,,256,,,483522416.0,ns,1
Bitcask Sizes,,256,,,482931291.0,ns,1
Bitcask Sizes,,256,,,487827416.0,ns,1
Bitcask Sizes,,256,,,486798750.0,ns,1
Bitcask Sizes,,256,,,485820333.0,ns,1
Bitcask Sizes,,256,,,483924416.0,ns,1
Bitcask Sizes,,256,,,484919916.0,ns,1
Bitcask Sizes,,256,,,485092666.0,ns,1
Bitcask Sizes,,256,,,484937916.0,ns,1
Bitcask Sizes,,256,,,489437750.0,ns,1
Bitcask Sizes,,256,,,484463708.0,ns,1
Bitcask Sizes,,256,,,485439833.0,ns,1
Bitcask Sizes,,256,,,483954208.0,ns,1
Bitcask Sizes,,256,,,485769708.0,ns,1
Bitcask Sizes,,256,,,469919875.0,ns,1
Bitcask Sizes,,256,,,487496333.0,ns,1
Bitcask Sizes,,256,,,487834583.0,ns,1
Bitcask Sizes,,256,,,485487875.0,ns,1
Bitcask Sizes,,256,,,494504750.0,ns,1
Bitcask Sizes,,256,,,485869375.0,ns,1
Bitcask Sizes,,256,,,486091916.0,ns,1
Bitcask Sizes,,256,,,494287791.0,ns,1
Bitcask Sizes,,256,,,487079583.0,ns,1
Bitcask Sizes,,256,,,484855041.0,ns,1
Bitcask Sizes,,256,,,487757208.0,ns,1
Bitcask Sizes,,256,,,509520375.0,ns,1
Bitcask Sizes,,256,,,489914916.0,ns,1
Bitcask Sizes,,256,,,494571916.0,ns,1
Bitcask Sizes,,256,,,484260083.0,ns,1
Bitcask Sizes,,256,,,485058416.0,ns,1
Bitcask Sizes,,256,,,537458583.0,ns,1
Bitcask Sizes,,256,,,486763583.0,ns,1
Bitcask Sizes,,256,,,488287416.0,ns,1
Bitcask Sizes,,256,,,489956708.0,ns,1
Bitcask Sizes,,256,,,490604250.0,ns,1
Bitcask Sizes,,256,,,513132375.0,ns,1
Bitcask Sizes,,256,,,507229958.0,ns,1
Bitcask Sizes,,256,,,485531250.0,ns,1
Bitcask Sizes,,256,,,529064666.0,ns,1
Bitcask Sizes,,256,,,505894583.0,ns,1
Bitcask Sizes,,256,,,482036916.0,ns,1
Bitcask Sizes,,256,,,481700291.0,ns,1
Bitcask Sizes,,256,,,483860416.0,ns,1
Bitcask Sizes,,256,,,482720583.0,ns,1
Bitcask Sizes,,256,,,495372666.0,ns,1
Bitcask Sizes,,256,,,486340791.0,ns,1
Bitcask Sizes,,256,,,483388333.0,ns,1
Bitcask Sizes,,256,,,483386750.0,ns,1
Bitcask Sizes,,256,,,482535833.0,ns,1
Bitcask Sizes,,256,,,506296500.0,ns,1
Bitcask Sizes,,256,,,489868500.0,ns,1
Bitcask Sizes,,256,,,502891750.0,ns,1
Bitcask Sizes,,256,,,469364916.0,ns,1
Bitcask Sizes,,256,,,501829916.0,ns,1
Bitcask Sizes,,256,,,508055916.0,ns,1
Bitcask Sizes,,256,,,486764750.0,ns,1
Bitcask Sizes,,256,,,522302250.0,ns,1
Bitcask Sizes,,256,,,482672708.0,ns,1
Bitcask Sizes,,256,,,488964875.0,ns,1
Bitcask Sizes,,256,,,486054750.0,ns,1
Bitcask Sizes,,256,,,481343750.0,ns,1
Bitcask Sizes,,256,,,505207041.0,ns,1
Bitcask Sizes,,256,,,482395125.0,ns,1
Bitcask Sizes,,256,,,484792500.0,ns,1
Bitcask Sizes,,256,,,543534125.0,ns,1
Bitcask Sizes,,256,,,501689458.0,ns,1
Bitcask Sizes,,256,,,480426666.0,ns,1
Bitcask Sizes,,256,,,504356750.0,ns,1
Bitcask Sizes,,256,,,826795041.0,ns,1
Bitcask Sizes,,256,,,494072958.0,ns,1
Bitcask Sizes,,256,,,493182541.0,ns,1
Bitcask Sizes,,256,,,499099500.0,ns,1
Bitcask Sizes,,256,,,545147833.0,ns,1
Bitcask Sizes,,256,,,493879958.0,ns,1
Bitcask Sizes,,256,,,497289083.0,ns,1
