group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fibonacci,,,,,1021458.0,ns,48
Fibonacci,,,,,2044375.0,ns,96
Fibonacci,,,,,3055958.0,ns,144
Fibonacci,,,,,3946458.0,ns,192
Fibonacci,,,,,4924666.0,ns,240
Fibonacci,,,,,5908333.0,ns,288
Fibonacci,,,,,6891208.0,ns,336
Fibonacci,,,,,7982125.0,ns,384
Fibonacci,,,,,9128583.0,ns,432
Fibonacci,,,,,9853791.0,ns,480
Fibonacci,,,,,10823916.0,ns,528
Fibonacci,,,,,11810666.0,ns,576
Fibonacci,,,,,12791875.0,ns,624
Fibonacci,,,,,13770375.0,ns,672
Fibonacci,,,,,14757583.0,ns,720
Fibonacci,,,,,15740916.0,ns,768
Fibonacci,,,,,16727500.0,ns,816
Fibonacci,,,,,17714041.0,ns,864
Fibonacci,,,,,19000625.0,ns,912
Fibonacci,,,,,20388333.0,ns,960
Fibonacci,,,,,21397833.0,ns,1008
Fibonacci,,,,,22414416.0,ns,1056
Fibonacci,,,,,22975000.0,ns,1104
Fibonacci,,,,,23613666.0,ns,1152
Fibonacci,,,,,24590250.0,ns,1200
Fibonacci,,,,,25578708.0,ns,1248
Fibonacci,,,,,26573375.0,ns,1296
Fibonacci,,,,,27544458.0,ns,1344
Fibonacci,,,,,28534666.0,ns,1392
Fibonacci,,,,,29528583.0,ns,1440
Fibonacci,,,,,30519125.0,ns,1488
Fibonacci,,,,,32594333.0,ns,1536
Fibonacci,,,,,33756166.0,ns,1584
Fibonacci,,,,,33921000.0,ns,1632
Fibonacci,,,,,34529458.0,ns,1680
Fibonacci,,,,,35653500.0,ns,1728
Fibonacci,,,,,36638875.0,ns,1776
Fibonacci,,,,,37958250.0,ns,1824
Fibonacci,,,,,39376625.0,ns,1872
Fibonacci,,,,,40898125.0,ns,1920
Fibonacci,,,,,40794666.0,ns,1968
Fibonacci,,,,,41674916.0,ns,2016
Fibonacci,,,,,42664083.0,ns,2064
Fibonacci,,,,,43760583.0,ns,2112
Fibonacci,,,,,45078125.0,ns,2160
Fibonacci,,,,,47010666.0,ns,2208
Fibonacci,,,,,46700500.0,ns,2256
Fibonacci,,,,,47394458.0,ns,2304
Fibonacci,,,,,48419416.0,ns,2352
Fibonacci,,,,,50120125.0,ns,2400
Fibonacci,,,,,52235708.0,ns,2448
Fibonacci,,,,,51371708.0,ns,2496
Fibonacci,,,,,52460000.0,ns,2544
Fibonacci,,,,,53571541.0,ns,2592
Fibonacci,,,,,55550291.0,ns,2640
Fibonacci,,,,,56752833.0,ns,2688
Fibonacci,,,,,56164750.0,ns,2736
Fibonacci,,,,,57130666.0,ns,2784
Fibonacci,,,,,58725750.0,ns,2832
Fibonacci,,,,,61175708.0,ns,2880
Fibonacci,,,,,60655125.0,ns,2928
Fibonacci,,,,,61190041.0,ns,2976
Fibonacci,,,,,62293208.0,ns,3024
Fibonacci,,,,,65187083.0,ns,3072
Fibonacci,,,,,63964416.0,ns,3120
Fibonacci,,,,,65517041.0,ns,3168
Fibonacci,,,,,66784833.0,ns,3216
Fibonacci,,,,,68699625.0,ns,3264
Fibonacci,,,,,67888500.0,ns,3312
Fibonacci,,,,,68877500.0,ns,3360
Fibonacci,,,,,71581583.0,ns,3408
Fibonacci,,,,,71882416.0,ns,3456
Fibonacci,,,,,72268666.0,ns,3504
Fibonacci,,,,,73854166.0,ns,3552
Fibonacci,,,,,75949250.0,ns,3600
Fibonacci,,,,,75174333.0,ns,3648
Fibonacci,,,,,76123500.0,ns,3696
Fibonacci,,,,,79795416.0,ns,3744
Fibonacci,,,,,78115000.0,ns,3792
Fibonacci,,,,,78980791.0,ns,3840
Fibonacci,,,,,81950708.0,ns,3888
Fibonacci,,,,,81202291.0,ns,3936
Fibonacci,,,,,82129750.0,ns,3984
Fibonacci,,,,,84713333.0,ns,4032
Fibonacci,,,,,84214375.0,ns,4080
Fibonacci,,,,,84626041.0,ns,4128
Fibonacci,,,,,87452625.0,ns,4176
Fibonacci,,,,,87174583.0,ns,4224
Fibonacci,,,,,87560041.0,ns,4272
Fibonacci,,,,,90736083.0,ns,4320
Fibonacci,,,,,90241041.0,ns,4368
Fibonacci,,,,,91026041.0,ns,4416
Fibonacci,,,,,93852458.0,ns,4464
Fibonacci,,,,,92821625.0,ns,4512
Fibonacci,,,,,93638125.0,ns,4560
Fibonacci,,,,,97175416.0,ns,4608
Fibonacci,,,,,95985041.0,ns,4656
Fibonacci,,,,,97227250.0,ns,4704
Fibonacci,,,,,99785208.0,ns,4752
Fibonacci,,,,,98364416.0,ns,4800
