group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bitcask,,,,,3153340833.0,ns,1
bitcask,,,,,3015566791.0,ns,1
bitcask,,,,,3014569875.0,ns,1
bitcask,,,,,3163317166.0,ns,1
bitcask,,,,,3012874583.0,ns,1
bitcask,,,,,3020076541.0,ns,1
bitcask,,,,,3199510250.0,ns,1
bitcask,,,,,3045859833.0,ns,1
bitcask,,,,,3086683250.0,ns,1
bitcask,,,,,3178016250.0,ns,1
bitcask,,,,,3408378250.0,ns,1
bitcask,,,,,3377644250.0,ns,1
bitcask,,,,,3386775958.0,ns,1
bitcask,,,,,3263175041.0,ns,1
bitcask,,,,,3730666250.0,ns,1
bitcask,,,,,3321560041.0,ns,1
bitcask,,,,,3504038666.0,ns,1
bitcask,,,,,3066495291.0,ns,1
bitcask,,,,,3069481125.0,ns,1
bitcask,,,,,3066771333.0,ns,1
bitcask,,,,,3130771250.0,ns,1
bitcask,,,,,3071563708.0,ns,1
bitcask,,,,,3081004208.0,ns,1
bitcask,,,,,3009849625.0,ns,1
bitcask,,,,,3040316708.0,ns,1
bitcask,,,,,3188022875.0,ns,1
bitcask,,,,,3105639125.0,ns,1
bitcask,,,,,3064896125.0,ns,1
bitcask,,,,,3019930916.0,ns,1
bitcask,,,,,3038367666.0,ns,1
bitcask,,,,,3025843708.0,ns,1
bitcask,,,,,3012568375.0,ns,1
bitcask,,,,,3068377916.0,ns,1
bitcask,,,,,2996050250.0,ns,1
bitcask,,,,,3081519041.0,ns,1
bitcask,,,,,3018616083.0,ns,1
bitcask,,,,,3058994791.0,ns,1
bitcask,,,,,3024256625.0,ns,1
bitcask,,,,,3064749583.0,ns,1
bitcask,,,,,3041640291.0,ns,1
bitcask,,,,,3010444041.0,ns,1
bitcask,,,,,3022894791.0,ns,1
bitcask,,,,,3081881500.0,ns,1
bitcask,,,,,3016421875.0,ns,1
bitcask,,,,,3074260208.0,ns,1
bitcask,,,,,3233316291.0,ns,1
bitcask,,,,,3141415291.0,ns,1
bitcask,,,,,3092591375.0,ns,1
bitcask,,,,,3101648083.0,ns,1
bitcask,,,,,3056137500.0,ns,1
bitcask,,,,,3117720375.0,ns,1
bitcask,,,,,3211577333.0,ns,1
bitcask,,,,,3113493541.0,ns,1
bitcask,,,,,3475228250.0,ns,1
bitcask,,,,,3243098041.0,ns,1
bitcask,,,,,3059542083.0,ns,1
bitcask,,,,,3010618333.0,ns,1
bitcask,,,,,3053986541.0,ns,1
bitcask,,,,,3019454416.0,ns,1
bitcask,,,,,3103392083.0,ns,1
bitcask,,,,,3105485083.0,ns,1
bitcask,,,,,3175219958.0,ns,1
bitcask,,,,,3118095791.0,ns,1
bitcask,,,,,3117245333.0,ns,1
bitcask,,,,,3260717916.0,ns,1
bitcask,,,,,3107404916.0,ns,1
bitcask,,,,,3013970000.0,ns,1
bitcask,,,,,3025357625.0,ns,1
bitcask,,,,,3069908625.0,ns,1
bitcask,,,,,3025300416.0,ns,1
bitcask,,,,,3036362875.0,ns,1
bitcask,,,,,3072646000.0,ns,1
bitcask,,,,,3064869500.0,ns,1
bitcask,,,,,3111231791.0,ns,1
bitcask,,,,,3474440583.0,ns,1
bitcask,,,,,3235510833.0,ns,1
bitcask,,,,,3092447708.0,ns,1
bitcask,,,,,3179070625.0,ns,1
bitcask,,,,,3187713166.0,ns,1
bitcask,,,,,3105864000.0,ns,1
bitcask,,,,,3144578208.0,ns,1
bitcask,,,,,3037584875.0,ns,1
bitcask,,,,,3127761541.0,ns,1
bitcask,,,,,3274400000.0,ns,1
bitcask,,,,,3054267750.0,ns,1
bitcask,,,,,3077991916.0,ns,1
bitcask,,,,,3048238291.0,ns,1
bitcask,,,,,3040667458.0,ns,1
bitcask,,,,,3057732333.0,ns,1
bitcask,,,,,3053806708.0,ns,1
bitcask,,,,,3057012833.0,ns,1
bitcask,,,,,3142770708.0,ns,1
bitcask,,,,,3127525916.0,ns,1
bitcask,,,,,3013282500.0,ns,1
bitcask,,,,,3078200958.0,ns,1
bitcask,,,,,3062230541.0,ns,1
bitcask,,,,,3040456416.0,ns,1
bitcask,,,,,3030434125.0,ns,1
bitcask,,,,,3067699708.0,ns,1
bitcask,,,,,3141168083.0,ns,1
